MatrixSize,TileWidth,CPUTimeMs,GPUKernelTimeAvgMs,GPUKernelTimeStdMs,HostToDeviceAvgMs,HostToDeviceStdMs,DeviceToHostAvgMs,DeviceToHostStdMs
256,2,43.98470,15.82536,21.97902,0.13377,0.10829,0.09597,0.02242
256,4,43.98470,1.68776,0.08347,0.16276,0.11294,0.10506,0.02594
256,8,43.98470,0.40920,0.00349,0.08827,0.00223,0.08036,0.00213
256,16,43.98470,0.36799,0.00269,0.08746,0.00050,0.07971,0.00135
256,32,43.98470,0.35449,0.02241,0.09419,0.00666,0.08809,0.01379
512,2,354.72760,57.74261,0.40466,0.30926,0.02025,0.22680,0.00732
512,4,354.72760,10.79039,0.16194,0.28927,0.00431,0.22842,0.00854
512,8,354.72760,2.39372,0.07909,0.28778,0.00727,0.23350,0.00273
512,16,354.72760,1.65297,0.09929,0.28708,0.00371,0.23108,0.00278
512,32,354.72760,2.08699,0.21172,0.29386,0.01651,0.23073,0.00712
1024,2,3444.93200,499.61399,10.81329,1.51730,0.06311,0.88881,0.01344
1024,4,3444.93200,90.67968,0.35340,1.26913,0.13633,0.83803,0.00870
1024,8,3444.93200,18.78783,0.37677,1.12735,0.14246,0.83667,0.01270
1024,16,3444.93200,12.26011,0.25479,1.00459,0.02174,0.83308,0.01644
1024,32,3444.93200,15.38067,0.21779,1.02356,0.02583,0.83821,0.01146
2048,2,33031.76160,4031.19146,80.43912,7.43740,4.40884,3.15700,0.03836
2048,4,33031.76160,730.98757,1.55979,6.00019,0.15890,3.13348,0.01926
2048,8,33031.76160,150.29435,0.78370,5.73626,0.11345,3.10941,0.03107
2048,16,33031.76160,96.62346,0.45292,5.43423,0.14099,3.09834,0.01093
2048,32,33031.76160,121.46847,0.34420,5.46139,0.10345,3.09353,0.00643
4096,2,266543.98990,31925.62930,110.52782,29.28060,17.01509,13.25688,1.72627
4096,4,266543.98990,5853.95166,22.46688,23.56035,0.38508,12.52279,0.22377
4096,8,266543.98990,1212.96884,1.71150,23.22227,0.39604,12.45024,0.07815
4096,16,266543.98990,774.71857,0.60072,23.52516,0.58429,12.33126,0.04211
4096,32,266543.98990,980.21810,1.17601,23.31022,0.25657,12.44019,0.15880
