Matrix_Size,CPU_Time,GPU_Time
256,25.000,40.282
256,24.000,2.664
256,25.000,0.911
256,25.000,0.683
256,26.000,0.988
512,204.000,81.307
512,202.000,19.553
512,201.000,4.904
512,202.000,3.646
512,200.000,5.127
1024,2189.000,568.878
1024,2218.000,190.669
1024,2233.000,239.116
1024,2235.000,220.292
1024,2223.000,224.370
2048,22032.000,4398.393
2048,19578.000,1284.884
2048,19842.000,477.185
2048,19303.000,491.476
2048,19704.000,610.514
4096,336879.000,33621.512
4096,767663.000,8656.955
4096,771820.062,2426.365
4096,763385.000,1807.138
4096,760389.000,2396.142
